GPP,PlanetMass,StellarMass,Distance
0.06296596864025697,0.1,0.1,0.033213169099538954
0.005902769948831264,0.1,0.1,0.0453887042949396
0.001062916057824197,0.1,0.1,0.05756423949034026
0.0,0.1,0.5,0.23506820182633564
1.6944211613626368,0.1,0.5,0.31374365354703154
0.5001535977768494,0.1,0.5,0.3924191052677275
0.0,0.1,1.0,0.877586430071078
1.0613877145605868,0.1,1.0,1.1329561847113103
0.2057700432545124,0.1,1.0,1.3883259393515426
0.06125373496132536,0.25,0.1,0.033213169099538954
0.00832553180522581,0.25,0.1,0.0453887042949396
0.0023468233401323325,0.25,0.1,0.05756423949034026
0.0,0.25,0.5,0.23506820182633564
1.6656662790948404,0.25,0.5,0.31374365354703154
0.45444275169629544,0.25,0.5,0.3924191052677275
0.0,0.25,1.0,0.877586430071078
1.0664866684514203,0.25,1.0,1.1329561847113103
0.23840996467546513,0.25,1.0,1.3883259393515426
0.061029836663533336,0.5,0.1,0.033213169099538954
0.008021613896394558,0.5,0.1,0.0453887042949396
0.002575098497651283,0.5,0.1,0.05756423949034026
1.8941927929756979,0.5,0.5,0.23506820182633564
1.5056484105534669,0.5,0.5,0.31374365354703154
0.4510171274321002,0.5,0.5,0.3924191052677275
1.9069451499385068,0.5,1.0,0.877586430071078
1.0305994340315763,0.5,1.0,1.1329561847113103
0.2502565870554292,0.5,1.0,1.3883259393515426
0.0564811025012118,0.75,0.1,0.033213169099538954
0.007872486054847994,0.75,0.1,0.0453887042949396
0.0028461459207064278,0.75,0.1,0.05756423949034026
1.8283922930543184,0.75,0.5,0.23506820182633564
1.441713926700581,0.75,0.5,0.31374365354703154
0.4403488756888885,0.75,0.5,0.3924191052677275
1.933043775267942,0.75,1.0,0.877586430071078
0.9874642552865942,0.75,1.0,1.1329561847113103
0.27227145610790915,0.75,1.0,1.3883259393515426
0.05379750442012064,1.0,0.1,0.033213169099538954
0.007727995838484849,1.0,0.1,0.0453887042949396
0.0025936953438680074,1.0,0.1,0.05756423949034026
1.7857791498303974,1.0,0.5,0.23506820182633564
1.4405288607761197,1.0,0.5,0.31374365354703154
0.43533444980537883,1.0,0.5,0.3924191052677275
1.8305245452693508,1.0,1.0,0.877586430071078
1.0,1.0,1.0,1.1329561847113103
0.283586812331184,1.0,1.0,1.3883259393515426
0.050674641927644225,1.5,0.1,0.033213169099538954
0.006623765667096314,1.5,0.1,0.0453887042949396
0.002448670327553167,1.5,0.1,0.05756423949034026
1.7749930413314878,1.5,0.5,0.23506820182633564
1.375933315722101,1.5,0.5,0.31374365354703154
0.4559031120977252,1.5,0.5,0.3924191052677275
1.7578438495462514,1.5,1.0,0.877586430071078
1.0180343482043879,1.5,1.0,1.1329561847113103
0.3282053911441233,1.5,1.0,1.3883259393515426
0.04368918303410156,2.0,0.1,0.033213169099538954
0.006421785128993087,2.0,0.1,0.0453887042949396
0.0024930802616936892,2.0,0.1,0.05756423949034026
1.7839064384741952,2.0,0.5,0.23506820182633564
1.371238540596631,2.0,0.5,0.31374365354703154
0.46487464993737443,2.0,0.5,0.3924191052677275
1.684749621347019,2.0,1.0,0.877586430071078
1.0283874291247181,2.0,1.0,1.1329561847113103
0.3527949429310414,2.0,1.0,1.3883259393515426
0.03870078446618422,3.0,0.1,0.033213169099538954
0.006292260080641787,3.0,0.1,0.0453887042949396
0.002386053349246293,3.0,0.1,0.05756423949034026
1.8196159523894153,3.0,0.5,0.23506820182633564
1.3358872245738327,3.0,0.5,0.31374365354703154
0.49196511321879205,3.0,0.5,0.3924191052677275
1.6279401051376783,3.0,1.0,0.877586430071078
1.0009686505952848,3.0,1.0,1.1329561847113103
0.38306689862556575,3.0,1.0,1.3883259393515426
0.03519297062235752,4.0,0.1,0.033213169099538954
0.006321231584389622,4.0,0.1,0.0453887042949396
0.002602847903702957,4.0,0.1,0.05756423949034026
1.8656271510457891,4.0,0.5,0.23506820182633564
1.3808342663249575,4.0,0.5,0.31374365354703154
0.5405886556029663,4.0,0.5,0.3924191052677275
1.578333340061441,4.0,1.0,0.877586430071078
0.9989184156546854,4.0,1.0,1.1329561847113103
0.3914045994854278,4.0,1.0,1.3883259393515426
